   61  134  261  333  461  533  662  733
   85  188  284  388  484  588  684  787
   19  104  219  304  420  504  620  704
   52  153  252  353  452  553  652  753
   72  198  272  397  472  597  672  797
    0  117  200  317  400  517  600  717
   41  107  241  307  442  508  642  708
   41  190  241  390  441  590  641  789
    1  154  202  354  402  554  603  753
  100  270  300  470  500  670  701
   59  156  258  356  458  556  658  756
   33  196  233  395  433  595  633  795
   41  154  241  354  441  554  641  754
   96  146  295  346  495  546  695  746
   89  116  289  316  488  516  688  717
   13  120  213  320  413  520  613  720
   26  138  226  338  426  538  626  738
   13  133  213  333  414  533  614  733
   41  188  241  388  441  588  641  787
   19  165  219  365  419  565  619  765
   21  119  221  320  421  520  621  622  720
   12  194  212  394  413  594  613  793
   90  111  290  311  490  511  690  711
   62  148  262  348  462  548  663  748
   42  120  242  321  442  521  641  721
  600  721
   78  188  278  388  478  588  678  788
   96  188  295  388  495  588  695  788
   15  173  215  373  415  573  615  773
   37  106  237  306  437  506  638  707
    6  110  206  310  407  511  607  711
   94  169  294  369  493  570  693  770
   25  189  225  389  425  588  625  788
   41  198  241  397  441  597  641  797
   58  197  259  396  459  596  659  795
   56  153  256  353  456  553  657  753
    8  187  209  387  409  587  609  787
   15  125  215  325  415  525  526  615  726
   11  129  211  212  329  412  529  612  729
   68  162  267  363  467  563  667  763
   68  140  268  340  468  540  668  740
   18  183  218  383  418  583  618  782
   50  154  250  354  450  554  649  753
   90  170  290  370  490  569  689  769
   63  137  264  337  464  537  664  737
   29  110  229  230  310  430  511  630  711
   73  199  273  399  473  599  673  798
   27  151  227  351  427  551  627  751
   23  192  223  392  424  592  624  792
    0  124  200  325  401  525  601  725
   99  160  299  359  499  559  699  759
   87  165  287  365  487  565  687  765
   85  158  284  358  484  558  684  758
   96  156  296  356  495  556  695  756
    3  172  203  372  403  572  603  772
   99  196  299  396  499  595  699  795
   96  118  119  296  319  495  519  695  720
   92  166  291  366  491  566  691  765
   42  140  242  340  442  540  642  740
  605  700
   64  175  264  374  464  574  664  774
   98  196  298  396  498  596  697  796
    3  195  203  395  403  595  603  795
   44  169  244  369  444  568  569  644  768
   31  192  231  392  431  592  631  792
   61  188  261  388  460  588  660  788
   57  177  257  377  458  576  658  776
   48  166  248  366  448  566  648  766
   20  120  121  220  321  420  521  620  721
   95  185  294  385  494  585  693  785
   67  138  267  337  467  537  666  667  737
   15  182  215  382  415  582  616  782
   65  147  265  348  465  548  665  748
   26  112  226  313  427  513  627  714
   88  100  288  300  488  500  688  700
   32  140  232  340  432  540  632  739
   98  192  297  392  497  592  697  792
   52  141  251  341  451  541  651  741
   53  186  253  385  453  585  653  785
   30  184  230  384  430  431  584  631  784
   74  124  274  324  474  525  674  725
   90  189  290  389  490  589  689  789
   72  117  271  317  471  517  671  717  718
   89  160  161  289  360  489  560  689  760
   56  109  256  309  456  509  656  710
   39  162  239  362  438  439  562  638  762
   67  123  267  323  467  524  667  724
   60  135  260  335  460  535  660  735
   94  106  293  306  493  507  693  707
   63  176  262  376  462  576  662  775
   43  140  244  340  444  540  644  740
   95  112  294  295  312  494  512  694  713
    7  150  207  349  350  408  549  608  749
   91  123  290  323  490  523  689  724
    4  131  204  331  405  531  605  730
   14  112  214  312  414  512  614  712
   31  140  231  340  431  540  632  740
   57  104  257  305  457  505  657  705
   47  159  247  359  447  560  646  760
   16  152  217  352  417  552  618  752
   16  124  217  324  417  524  617  724
   35  174  235  374  435  573  635  773
   70  158  270  358  470  558  670  758
   87  198  287  398  487  598  687  797
   54  184  254  384  454  584  654  784
   75  147  275  347  475  547  675  747
   40  162  240  362  440  562  640  762
   80  175  280  375  480  574  680  774
   36  102  236  302  436  503  636  703
   20  158  220  358  420  558  620  758
    0  151  200  352  401  552  601  752
   99  128  298  328  498  529  698  729
   20  184  220  384  421  584  621  783
   62  195  261  395  461  594  661  794
   12  150  213  350  413  550  613  750
   21  105  221  305  421  506  621  622  706
    7  124  208  324  408  524  608  724  725
    2  190  202  390  403  590  603  790
  200  399  400  599  600  799
   39  156  240  356  440  556  640  756
   31  183  232  383  432  583  632  783
   55  155  255  356  455  556  655  756
   11  132  212  332  412  533  612  733
   27  166  228  366  428  566  628  766
   45  135  245  335  445  535  644  735
   76  136  276  336  476  536  675  676  736
   66  103  266  303  465  503  665  703
   43  152  243  351  352  443  551  643  751
   99  162  298  362  498  562  697  762
   19  169  219  370  419  570  620  770
   97  125  297  325  496  525  696  725
   23  195  223  395  424  595  624  795
   11  185  211  385  412  585  612  785
   29  191  229  391  429  590  629  790
   76  143  276  343  475  542  675  742
   28  128  228  329  428  529  628  729
